epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59112.50000,653875269.1826417446136475,-321478.7694028098485433,-246951.6200370896840468,-133919.7767616308410652,0.6279963510673013,-0.7071282488070415,-0.3911781134991352
59112.75000,653896869.1826417446136475,-307429.0072958296514116,-261866.8328187111183070,-142066.9538270082848612,0.6726266319549862,-0.6737013280314841,-0.3630787350215579
59113.00000,653918469.1826417446136475,-292433.3598030771827325,-276046.5221327283070423,-149600.2321442606335040,0.7155814464644055,-0.6390246620515022,-0.3343477500286274
59113.25000,653940069.1826417446136475,-276527.8391374342609197,-289463.6910014676395804,-156506.7367214665864594,0.7568761153538851,-0.6030966162137098,-0.3050554310196021
59113.50000,653961669.1826417446136475,-259748.2028574231371749,-302091.2179920037160628,-162775.0586930472054519,0.7965188188123167,-0.5659073973769557,-0.2752672997944181
59113.75000,653983269.1826417446136475,-242130.1123338437464554,-313901.6875319802784361,-168395.1559209412080236,0.8345102440718694,-0.5274396709690589,-0.2450444506637525
59114.00000,654004869.1826417446136475,-223709.2962976799753960,-324867.2339588106260635,-173358.2623739555128850,0.8708434658344241,-0.4876691992180985,-0.2144440466294477
59114.25000,654026469.1826417446136475,-204521.7145916087902151,-334959.3986895720008761,-177656.8104193030740134,0.9055040430447814,-0.4465654010141090,-0.1835200241364396
59114.50000,654048069.1826417446136475,-184603.7177618698624428,-344148.9977083268458955,-181284.3708494805032387,0.9384703008498105,-0.4040917294721234,-0.1523240345375103
59114.75000,654069669.1826417446136475,-163992.1989501476346049,-352405.9942540415213443,-184235.6160190986993257,0.9697137530386124,-0.3602057569199341,-0.1209066465897105
59115.00000,654091269.1826417446136475,-142724.7356692402390763,-359699.3691094647510909,-186506.3120098088402301,0.9991996046552558,-0.3148588464172600,-0.0893188367891518
59115.25000,654112869.1826417446136475,-120839.7205751339060953,-365996.9781076582730748,-188093.3464221718313638,1.0268872518227501,-0.2679952718583236,-0.0576138057623334
59115.50000,654134469.1826417446136475,-98376.4825125148199731,-371265.3832373929908499,-188994.7994499250489753,1.0527306582724880,-0.2195506236664340,-0.0258491825039775
59115.75000,654156069.1826417446136475,-75375.4023359894345049,-375469.6398667822359130,-189210.0676204388728365,1.0766784245379557,-0.1694493042947220,0.0059102820389938
59116.00000,654177669.1826417446136475,-51878.0330413627962116,-378573.0179812009446323,-188740.0523991927329917,1.0986732592943393,-0.1176008813820967,0.0375893688770950
59116.25000,654199269.1826417446136475,-27927.2417514180451690,-380536.6299835884128697,-187587.4303064905980136,1.1186503875207676,-0.0638950386132657,0.0690981375597813
59116.50000,654220869.1826417446136475,-3567.4039400872643455,-381318.9319779388024472,-185757.0280446403194219,1.1365341507238258,-0.0081948728635420,0.1003263782257462
59116.75000,654242469.1826417446136475,21155.2992586459658924,-380875.0608983588754199,-183256.3363904797588475,1.1522316175862708,0.0496716094026062,0.1311361970310020
59117.00000,654264069.1826417446136475,46192.3975939315714641,-379155.9695878663915209,-180096.2114925084169954,1.1656213599980008,0.1099216223199605,0.1613519194218145
