epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59114.50000,654048069.1826417446136475,-129918.6545514379686210,-321413.2406628072494641,-130612.8552363021735800,0.9651848862380737,-0.3536745406012896,-0.2499624993871209
59114.75000,654069669.1826417446136475,-108846.0046421066945186,-328452.0483890448813327,-135766.5779331860831007,0.9853587894163960,-0.2979582121782106,-0.2271246800335790
59115.00000,654091269.1826417446136475,-87378.2618370398849947,-334281.1753308441839181,-140420.2887739518482704,1.0017684097194790,-0.2417055210506273,-0.2036822779851414
59115.25000,654112869.1826417446136475,-65596.6189814792887773,-338891.5016117175691761,-144562.0356420288735535,1.0144272197262443,-0.1851434955881814,-0.1797374896572357
59115.50000,654134469.1826417446136475,-43581.8040767469501588,-342278.7263745583477430,-148182.0531895411841106,1.0233645475668172,-0.1284911861164993,-0.1553905176429971
59115.75000,654156069.1826417446136475,-21413.7533210384062841,-344443.1879445732920431,-151272.7149329431704246,1.0286241433680199,-0.0719590014339039,-0.1307391373170642
59116.00000,654177669.1826417446136475,828.6852078045717462,-345389.6716623822576366,-153828.4769066989247221,1.0302627797150339,-0.0157482272134234,-0.1058783474446489
59116.25000,654199269.1826417446136475,23068.0182084039079200,-345127.2090893440763466,-155845.8146126392530277,1.0283489078823915,0.0399492948432646,-0.0809000975126288
59116.50000,654220869.1826417446136475,45228.3455396172357723,-343668.8718233743566088,-157323.1548360805900302,1.0229613862322871,0.0949513488751352,-0.0558930836968241
59116.75000,654242469.1826417446136475,67235.5720277668879135,-341031.5626912335283123,-158260.8037197104131337,1.0141882924773091,0.1490854094242350,-0.0309426049722690
59117.00000,654264069.1826417446136475,89017.5945917302015005,-337235.8066254370496608,-158660.8723021227633581,1.0021258269540876,0.2021886094667832,-0.0061304708307956
59117.25000,654285669.1826417446136475,110504.4666962753835833,-332305.5430974572082050,-158527.2005452541634440,0.9868773103963651,0.2541076313853542,0.0184650477043237
59117.50000,654307269.1826417446136475,131628.5421830489649437,-326267.9215764499967918,-157865.2807000318134669,0.9685522765061193,0.3046985386704938,0.0427692316370120
59117.75000,654328869.1826417446136475,152324.6005065596837085,-319153.1011184173985384,-156682.1806956329382956,0.9472656570608954,0.3538265642559190,0.0667108994110704
59118.00000,654350469.1826417446136475,172529.9553308517497499,-310994.0548688159324229,-154986.4680878955696244,0.9231370552757421,0.4013658693810957,0.0902223707597168
59118.25000,654372069.1826417446136475,192184.5483329469861928,-301826.3799833994708024,-152788.1349683007574640,0.8962901016323280,0.4471992848516053,0.1132394148213621
59118.50000,654393669.1826417446136475,211231.0299219766748138,-291688.1132371769053861,-150098.5241174045368098,0.8668518853328167,0.4912180445897796,0.1357011875741805
